Time,hhmm,VOLUME
2021-04-01 09:40:00,09:40,5787283
2021-04-01 09:50:00,09:50,3001767
2021-04-01 10:00:00,10:00,1523707
2021-04-01 10:10:00,10:10,3199697
2021-04-01 10:20:00,10:20,2662730
2021-04-01 10:30:00,10:30,892744
2021-04-01 10:40:00,10:40,1597204
2021-04-01 10:50:00,10:50,1357415
2021-04-01 11:00:00,11:00,1426628
2021-04-01 11:10:00,11:10,2237559
2021-04-01 11:20:00,11:20,2279949
2021-04-01 11:30:00,11:30,1051522
2021-04-01 11:40:00,11:40,784404
2021-04-01 11:50:00,11:50,1154001
2021-04-01 12:00:00,12:00,654967
2021-04-01 12:10:00,12:10,870221
2021-04-01 12:20:00,12:20,677688
2021-04-01 12:30:00,12:30,661359
2021-04-01 12:40:00,12:40,351432
2021-04-01 12:50:00,12:50,472348
2021-04-01 13:00:00,13:00,828230
2021-04-01 13:10:00,13:10,593227
2021-04-01 13:20:00,13:20,699243
2021-04-01 13:30:00,13:30,1472833
2021-04-01 13:40:00,13:40,596653
2021-04-01 13:50:00,13:50,704651
2021-04-01 14:00:00,14:00,811731
2021-04-01 14:10:00,14:10,434552
2021-04-01 14:20:00,14:20,892464
2021-04-01 14:30:00,14:30,512890
2021-04-01 14:40:00,14:40,708234
2021-04-01 14:50:00,14:50,733994
2021-04-01 15:00:00,15:00,1701048
2021-04-01 15:10:00,15:10,691481
2021-04-01 15:20:00,15:20,630063
2021-04-01 15:30:00,15:30,718266
2021-04-01 15:40:00,15:40,983369
2021-04-01 15:50:00,15:50,1826178
2021-04-01 16:00:00,16:00,3789553
2021-04-05 09:40:00,09:40,2634176
2021-04-05 09:50:00,09:50,1624917
2021-04-05 10:00:00,10:00,1233813
2021-04-05 10:10:00,10:10,1797310
2021-04-05 10:20:00,10:20,1381526
2021-04-05 10:30:00,10:30,1178320
2021-04-05 10:40:00,10:40,1110133
2021-04-05 10:50:00,10:50,776047
2021-04-05 11:00:00,11:00,939089
2021-04-05 11:10:00,11:10,875489
2021-04-05 11:20:00,11:20,397048
2021-04-05 11:30:00,11:30,329842
2021-04-05 11:40:00,11:40,1030029
2021-04-05 11:50:00,11:50,685831
2021-04-05 12:00:00,12:00,893414
2021-04-05 12:10:00,12:10,409980
2021-04-05 12:20:00,12:20,572543
2021-04-05 12:30:00,12:30,699403
2021-04-05 12:40:00,12:40,745132
2021-04-05 12:50:00,12:50,448732
2021-04-05 13:00:00,13:00,630000
2021-04-05 13:10:00,13:10,348427
2021-04-05 13:20:00,13:20,812456
2021-04-05 13:30:00,13:30,721416
2021-04-05 13:40:00,13:40,521875
2021-04-05 13:50:00,13:50,362179
2021-04-05 14:00:00,14:00,855282
2021-04-05 14:10:00,14:10,476741
2021-04-05 14:20:00,14:20,507688
2021-04-05 14:30:00,14:30,966087
2021-04-05 14:40:00,14:40,470680
2021-04-05 14:50:00,14:50,2336246
2021-04-05 15:00:00,15:00,467279
2021-04-05 15:10:00,15:10,808664
2021-04-05 15:20:00,15:20,517003
2021-04-05 15:30:00,15:30,796899
