Time,hhmm,VOLUME
2021-04-01 09:40:00,09:40,31967
2021-04-01 09:50:00,09:50,13194
2021-04-01 10:00:00,10:00,9774
2021-04-01 10:10:00,10:10,26026
2021-04-01 10:20:00,10:20,10889
2021-04-01 10:30:00,10:30,9323
2021-04-01 10:40:00,10:40,10093
2021-04-01 10:50:00,10:50,9060
2021-04-01 11:00:00,11:00,9769
2021-04-01 11:10:00,11:10,11293
2021-04-01 11:20:00,11:20,10889
2021-04-01 11:30:00,11:30,7994
2021-04-01 11:40:00,11:40,6601
2021-04-01 11:50:00,11:50,8855
2021-04-01 12:00:00,12:00,5428
2021-04-01 12:10:00,12:10,6778
2021-04-01 12:20:00,12:20,6940
2021-04-01 12:30:00,12:30,3490
2021-04-01 12:40:00,12:40,4146
2021-04-01 12:50:00,12:50,5051
2021-04-01 13:00:00,13:00,4720
2021-04-01 13:10:00,13:10,5534
2021-04-01 13:20:00,13:20,5653
2021-04-01 13:30:00,13:30,5924
2021-04-01 13:40:00,13:40,5415
2021-04-01 13:50:00,13:50,5073
2021-04-01 14:00:00,14:00,3482
2021-04-01 14:10:00,14:10,3501
2021-04-01 14:20:00,14:20,4453
2021-04-01 14:30:00,14:30,4172
2021-04-01 14:40:00,14:40,4093
2021-04-01 14:50:00,14:50,4448
2021-04-01 15:00:00,15:00,4199
2021-04-01 15:10:00,15:10,5732
2021-04-01 15:20:00,15:20,4446
2021-04-01 15:30:00,15:30,5335
2021-04-01 15:40:00,15:40,7390
2021-04-01 15:50:00,15:50,6755
2021-04-01 16:00:00,16:00,20077
2021-04-05 09:40:00,09:40,22455
2021-04-05 09:50:00,09:50,15035
2021-04-05 10:00:00,10:00,12154
2021-04-05 10:10:00,10:10,13263
2021-04-05 10:20:00,10:20,10959
2021-04-05 10:30:00,10:30,9454
2021-04-05 10:40:00,10:40,7523
2021-04-05 10:50:00,10:50,7089
2021-04-05 11:00:00,11:00,7818
2021-04-05 11:10:00,11:10,7207
2021-04-05 11:20:00,11:20,6689
2021-04-05 11:30:00,11:30,3209
2021-04-05 11:40:00,11:40,10051
2021-04-05 11:50:00,11:50,5694
2021-04-05 12:00:00,12:00,4485
2021-04-05 12:10:00,12:10,3489
2021-04-05 12:20:00,12:20,3883
2021-04-05 12:30:00,12:30,5495
2021-04-05 12:40:00,12:40,5359
2021-04-05 12:50:00,12:50,3714
2021-04-05 13:00:00,13:00,4385
2021-04-05 13:10:00,13:10,2769
2021-04-05 13:20:00,13:20,4132
2021-04-05 13:30:00,13:30,3326
2021-04-05 13:40:00,13:40,3230
2021-04-05 13:50:00,13:50,3352
2021-04-05 14:00:00,14:00,6119
2021-04-05 14:10:00,14:10,5432
2021-04-05 14:20:00,14:20,2875
2021-04-05 14:30:00,14:30,3107
2021-04-05 14:40:00,14:40,3217
2021-04-05 14:50:00,14:50,6358
2021-04-05 15:00:00,15:00,2766
2021-04-05 15:10:00,15:10,7290
2021-04-05 15:20:00,15:20,4247
2021-04-05 15:30:00,15:30,5536
2021-04-05 15:40:00,15:40,7872
2021-04-05 15:50:00,15:50,7559
2021-04-05 16:00:00,16:00,17398
2021-04-06 09:40:00,09:40,25994
2021-04-06 09:50:00,09:50,16149
2021-04-06 10:00:00,10:00,14367
2021-04-06 10:10:00,10:10,12805
2021-04-06 10:20:00,10:20,15145
2021-04-06 10:30:00,10:30,11865
2021-04-06 10:40:00,10:40,13515
2021-04-06 10:50:00,10:50,10700
2021-04-06 11:00:00,11:00,11212
2021-04-06 11:10:00,11:10,10871
2021-04-06 11:20:00,11:20,14374
2021-04-06 11:30:00,11:30,7079
2021-04-06 11:40:00,11:40,7502
2021-04-06 11:50:00,11:50,6883
2021-04-06 12:00:00,12:00,5756
2021-04-06 12:10:00,12:10,6626
2021-04-06 12:20:00,12:20,5392
2021-04-06 12:30:00,12:30,6086
2021-04-06 12:40:00,12:40,5527
2021-04-06 12:50:00,12:50,4898
2021-04-06 13:00:00,13:00,5153
2021-04-06 13:10:00,13:10,8942
2021-04-06 13:20:00,13:20,7956
2021-04-06 13:30:00,13:30,11740
2021-04-06 13:40:00,13:40,8487
2021-04-06 13:50:00,13:50,5560
2021-04-06 14:00:00,14:00,5527
2021-04-06 14:10:00,14:10,5654
2021-04-06 14:20:00,14:20,4661
2021-04-06 14:30:00,14:30,3769
2021-04-06 14:40:00,14:40,6981
2021-04-06 14:50:00,14:50,6785
2021-04-06 15:00:00,15:00,6427
2021-04-06 15:10:00,15:10,8436
2021-04-06 15:20:00,15:20,7005
2021-04-06 15:30:00,15:30,6296
2021-04-06 15:40:00,15:40,8392
2021-04-06 15:50:00,15:50,7525
2021-04-06 16:00:00,16:00,18872
2021-04-07 09:40:00,09:40,25841
2021-04-07 09:50:00,09:50,18169
2021-04-07 10:00:00,10:00,11358
2021-04-07 10:10:00,10:10,15208
2021-04-07 10:20:00,10:20,11574
2021-04-07 10:30:00,10:30,8014
2021-04-07 10:40:00,10:40,8118
2021-04-07 10:50:00,10:50,8103
2021-04-07 11:00:00,11:00,7730
2021-04-07 11:10:00,11:10,11264
2021-04-07 11:20:00,11:20,5816
2021-04-07 11:30:00,11:30,10150
2021-04-07 11:40:00,11:40,12316
2021-04-07 11:50:00,11:50,10999
2021-04-07 12:00:00,12:00,9409
2021-04-07 12:10:00,12:10,6980
2021-04-07 12:20:00,12:20,9546
2021-04-07 12:30:00,12:30,8726
2021-04-07 12:40:00,12:40,8340
2021-04-07 12:50:00,12:50,5196
2021-04-07 13:00:00,13:00,5459
2021-04-07 13:10:00,13:10,6911
2021-04-07 13:20:00,13:20,4967
2021-04-07 13:30:00,13:30,4671
2021-04-07 13:40:00,13:40,5770
2021-04-07 13:50:00,13:50,3359
2021-04-07 14:00:00,14:00,3145
2021-04-07 14:10:00,14:10,8230
2021-04-07 14:20:00,14:20,7920
2021-04-07 14:30:00,14:30,7207
2021-04-07 14:40:00,14:40,4530
2021-04-07 14:50:00,14:50,4102
2021-04-07 15:00:00,15:00,6738
2021-04-07 15:10:00,15:10,7842
2021-04-07 15:20:00,15:20,8214
2021-04-07 15:30:00,15:30,9004
2021-04-07 15:40:00,15:40,9767
2021-04-07 15:50:00,15:50,8188
2021-04-07 16:00:00,16:00,14690
2021-04-08 09:40:00,09:40,27473
2021-04-08 09:50:00,09:50,19882
2021-04-08 10:00:00,10:00,17950
2021-04-08 10:10:00,10:10,17201
2021-04-08 10:20:00,10:20,19071
2021-04-08 10:30:00,10:30,15188
2021-04-08 10:40:00,10:40,13564
2021-04-08 10:50:00,10:50,12511
2021-04-08 11:00:00,11:00,10994
2021-04-08 11:10:00,11:10,11528
2021-04-08 11:20:00,11:20,9399
2021-04-08 11:30:00,11:30,10105
2021-04-08 11:40:00,11:40,8452
2021-04-08 11:50:00,11:50,6631
2021-04-08 12:00:00,12:00,4497
2021-04-08 12:10:00,12:10,5407
2021-04-08 12:20:00,12:20,7725
2021-04-08 12:30:00,12:30,6041
2021-04-08 12:40:00,12:40,3742
2021-04-08 12:50:00,12:50,5741
2021-04-08 13:00:00,13:00,4233
2021-04-08 13:10:00,13:10,4535
2021-04-08 13:20:00,13:20,4085
2021-04-08 13:30:00,13:30,4016
2021-04-08 13:40:00,13:40,5786
2021-04-08 13:50:00,13:50,4241
2021-04-08 14:00:00,14:00,2994
2021-04-08 14:10:00,14:10,4425
2021-04-08 14:20:00,14:20,4674
2021-04-08 14:30:00,14:30,4864
2021-04-08 14:40:00,14:40,3847
2021-04-08 14:50:00,14:50,3298
2021-04-08 15:00:00,15:00,4522
2021-04-08 15:10:00,15:10,4644
2021-04-08 15:20:00,15:20,5281
2021-04-08 15:30:00,15:30,4791
2021-04-08 15:40:00,15:40,7105
2021-04-08 15:50:00,15:50,6488
2021-04-08 16:00:00,16:00,15815
2021-04-09 09:40:00,09:40,27088
2021-04-09 09:50:00,09:50,21766
2021-04-09 10:00:00,10:00,15646
2021-04-09 10:10:00,10:10,14673
2021-04-09 10:20:00,10:20,10433
2021-04-09 10:30:00,10:30,12213
2021-04-09 10:40:00,10:40,14180
2021-04-09 10:50:00,10:50,11361
2021-04-09 11:00:00,11:00,11515
2021-04-09 11:10:00,11:10,14067
2021-04-09 11:20:00,11:20,10630
2021-04-09 11:30:00,11:30,7371
2021-04-09 11:40:00,11:40,8333
2021-04-09 11:50:00,11:50,8478
2021-04-09 12:00:00,12:00,9686
2021-04-09 12:10:00,12:10,7613
2021-04-09 12:20:00,12:20,8354
2021-04-09 12:30:00,12:30,5411
2021-04-09 12:40:00,12:40,4568
2021-04-09 12:50:00,12:50,4816
2021-04-09 13:00:00,13:00,4850
2021-04-09 13:10:00,13:10,4767
2021-04-09 13:20:00,13:20,3926
2021-04-09 13:30:00,13:30,4162
2021-04-09 13:40:00,13:40,6289
2021-04-09 13:50:00,13:50,4249
2021-04-09 14:00:00,14:00,4732
2021-04-09 14:10:00,14:10,4545
2021-04-09 14:20:00,14:20,4025
2021-04-09 14:30:00,14:30,4424
2021-04-09 14:40:00,14:40,5624
2021-04-09 14:50:00,14:50,4251
2021-04-09 15:00:00,15:00,5127
2021-04-09 15:10:00,15:10,7371
2021-04-09 15:20:00,15:20,5956
2021-04-09 15:30:00,15:30,8659
2021-04-09 15:40:00,15:40,11557
2021-04-09 15:50:00,15:50,8559
2021-04-09 16:00:00,16:00,22399
2021-04-12 09:40:00,09:40,22505
2021-04-12 09:50:00,09:50,21948
2021-04-12 10:00:00,10:00,19773
2021-04-12 10:10:00,10:10,15394
2021-04-12 10:20:00,10:20,13193
2021-04-12 10:30:00,10:30,11807
2021-04-12 10:40:00,10:40,13247
2021-04-12 10:50:00,10:50,16239
2021-04-12 11:00:00,11:00,9287
2021-04-12 11:10:00,11:10,8574
2021-04-12 11:20:00,11:20,8666
2021-04-12 11:30:00,11:30,7806
2021-04-12 11:40:00,11:40,8307
2021-04-12 11:50:00,11:50,7834
2021-04-12 12:00:00,12:00,6847
2021-04-12 12:10:00,12:10,5933
2021-04-12 12:20:00,12:20,6159
2021-04-12 12:30:00,12:30,7712
2021-04-12 12:40:00,12:40,9394
2021-04-12 12:50:00,12:50,4543
2021-04-12 13:00:00,13:00,4572
2021-04-12 13:10:00,13:10,5492
2021-04-12 13:20:00,13:20,6087
2021-04-12 13:30:00,13:30,5165
2021-04-12 13:40:00,13:40,5343
2021-04-12 13:50:00,13:50,6465
2021-04-12 14:00:00,14:00,6141
2021-04-12 14:10:00,14:10,8016
2021-04-12 14:20:00,14:20,4577
2021-04-12 14:30:00,14:30,5422
2021-04-12 14:40:00,14:40,3979
2021-04-12 14:50:00,14:50,5669
2021-04-12 15:00:00,15:00,5479
2021-04-12 15:10:00,15:10,7709
2021-04-12 15:20:00,15:20,5813
2021-04-12 15:30:00,15:30,6627
2021-04-12 15:40:00,15:40,9966
2021-04-12 15:50:00,15:50,9906
2021-04-12 16:00:00,16:00,18079
2021-04-13 09:40:00,09:40,29077
2021-04-13 09:50:00,09:50,21600
2021-04-13 10:00:00,10:00,15350
2021-04-13 10:10:00,10:10,13835
2021-04-13 10:20:00,10:20,13852
2021-04-13 10:30:00,10:30,16320
2021-04-13 10:40:00,10:40,11686
2021-04-13 10:50:00,10:50,9142
2021-04-13 11:00:00,11:00,8941
2021-04-13 11:10:00,11:10,9649
2021-04-13 11:20:00,11:20,11410
2021-04-13 11:30:00,11:30,9728
2021-04-13 11:40:00,11:40,14894
2021-04-13 11:50:00,11:50,7725
2021-04-13 12:00:00,12:00,7317
2021-04-13 12:10:00,12:10,7286
2021-04-13 12:20:00,12:20,7321
2021-04-13 12:30:00,12:30,4726
2021-04-13 12:40:00,12:40,5269
2021-04-13 12:50:00,12:50,5209
2021-04-13 13:00:00,13:00,6028
2021-04-13 13:10:00,13:10,9081
2021-04-13 13:20:00,13:20,5647
2021-04-13 13:30:00,13:30,3209
2021-04-13 13:40:00,13:40,5260
2021-04-13 13:50:00,13:50,4494
2021-04-13 14:00:00,14:00,4203
2021-04-13 14:10:00,14:10,6346
2021-04-13 14:20:00,14:20,6385
2021-04-13 14:30:00,14:30,5149
2021-04-13 14:40:00,14:40,8755
2021-04-13 14:50:00,14:50,5668
2021-04-13 15:00:00,15:00,6916
2021-04-13 15:10:00,15:10,9204
2021-04-13 15:20:00,15:20,10816
2021-04-13 15:30:00,15:30,8583
2021-04-13 15:40:00,15:40,10637
2021-04-13 15:50:00,15:50,9980
2021-04-13 16:00:00,16:00,18910
2021-04-14 09:40:00,09:40,35801
2021-04-14 09:50:00,09:50,21974
2021-04-14 10:00:00,10:00,19095
2021-04-14 10:10:00,10:10,18649
2021-04-14 10:20:00,10:20,12923
2021-04-14 10:30:00,10:30,19276
2021-04-14 10:40:00,10:40,16579
2021-04-14 10:50:00,10:50,15677
2021-04-14 11:00:00,11:00,14804
2021-04-14 11:10:00,11:10,17212
2021-04-14 11:20:00,11:20,15607
2021-04-14 11:30:00,11:30,18996
2021-04-14 11:40:00,11:40,11558
2021-04-14 11:50:00,11:50,9039
2021-04-14 12:00:00,12:00,7514
2021-04-14 12:10:00,12:10,14947
2021-04-14 12:20:00,12:20,11012
2021-04-14 12:30:00,12:30,9685
2021-04-14 12:40:00,12:40,8427
