Time,hhmm,VOLUME
2021-04-01 09:40:00,09:40,20914
2021-04-01 09:50:00,09:50,14998
2021-04-01 10:00:00,10:00,9644
2021-04-01 10:10:00,10:10,17938
2021-04-01 10:20:00,10:20,12092
2021-04-01 10:30:00,10:30,12419
2021-04-01 10:40:00,10:40,14344
2021-04-01 10:50:00,10:50,8252
2021-04-01 11:00:00,11:00,8288
2021-04-01 11:10:00,11:10,13991
2021-04-01 11:20:00,11:20,17157
2021-04-01 11:30:00,11:30,13180
2021-04-01 11:40:00,11:40,6906
2021-04-01 11:50:00,11:50,14025
2021-04-01 12:00:00,12:00,3478
2021-04-01 12:10:00,12:10,3858
2021-04-01 12:20:00,12:20,3420
2021-04-01 12:30:00,12:30,2389
2021-04-01 12:40:00,12:40,3479
2021-04-01 12:50:00,12:50,36963
2021-04-01 13:00:00,13:00,6065
2021-04-01 13:10:00,13:10,3830
2021-04-01 13:20:00,13:20,35442
2021-04-01 13:30:00,13:30,8369
2021-04-01 13:40:00,13:40,4268
2021-04-01 13:50:00,13:50,3873
2021-04-01 14:00:00,14:00,2141
2021-04-01 14:10:00,14:10,7512
2021-04-01 14:20:00,14:20,3609
2021-04-01 14:30:00,14:30,5412
2021-04-01 14:40:00,14:40,4018
2021-04-01 14:50:00,14:50,3752
2021-04-01 15:00:00,15:00,2712
2021-04-01 15:10:00,15:10,8667
2021-04-01 15:20:00,15:20,3306
2021-04-01 15:30:00,15:30,5620
2021-04-01 15:40:00,15:40,8802
2021-04-01 15:50:00,15:50,10597
2021-04-01 16:00:00,16:00,18870
2021-04-02 09:40:00,09:40,0
2021-04-02 09:50:00,09:50,0
2021-04-02 10:00:00,10:00,0
2021-04-02 10:10:00,10:10,0
2021-04-02 10:20:00,10:20,0
2021-04-02 10:30:00,10:30,0
2021-04-02 10:40:00,10:40,0
2021-04-02 10:50:00,10:50,0
2021-04-02 11:00:00,11:00,0
2021-04-02 11:10:00,11:10,0
2021-04-02 11:20:00,11:20,0
2021-04-02 11:30:00,11:30,0
2021-04-02 11:40:00,11:40,0
2021-04-02 11:50:00,11:50,0
2021-04-02 12:00:00,12:00,0
2021-04-02 12:10:00,12:10,0
2021-04-02 12:20:00,12:20,0
2021-04-02 12:30:00,12:30,0
2021-04-02 12:40:00,12:40,0
2021-04-02 12:50:00,12:50,0
2021-04-02 13:00:00,13:00,0
2021-04-02 13:10:00,13:10,0
2021-04-02 13:20:00,13:20,0
2021-04-02 13:30:00,13:30,0
2021-04-02 13:40:00,13:40,0
2021-04-02 13:50:00,13:50,0
2021-04-02 14:00:00,14:00,0
2021-04-02 14:10:00,14:10,0
2021-04-02 14:20:00,14:20,0
2021-04-02 14:30:00,14:30,0
2021-04-02 14:40:00,14:40,0
2021-04-02 14:50:00,14:50,0
2021-04-02 15:00:00,15:00,0
2021-04-02 15:10:00,15:10,0
2021-04-02 15:20:00,15:20,0
2021-04-02 15:30:00,15:30,0
2021-04-02 15:40:00,15:40,0
2021-04-02 15:50:00,15:50,0
2021-04-02 16:00:00,16:00,0
2021-04-05 09:40:00,09:40,12619
2021-04-05 09:50:00,09:50,9802
2021-04-05 10:00:00,10:00,9194
2021-04-05 10:10:00,10:10,8554
2021-04-05 10:20:00,10:20,9297
2021-04-05 10:30:00,10:30,14427
2021-04-05 10:40:00,10:40,42597
2021-04-05 10:50:00,10:50,4922
2021-04-05 11:00:00,11:00,14474
2021-04-05 11:10:00,11:10,4712
2021-04-05 11:20:00,11:20,4471
2021-04-05 11:30:00,11:30,4148
2021-04-05 11:40:00,11:40,7284
2021-04-05 11:50:00,11:50,10216
2021-04-05 12:00:00,12:00,6453
2021-04-05 12:10:00,12:10,2216
2021-04-05 12:20:00,12:20,3185
2021-04-05 12:30:00,12:30,3506
2021-04-05 12:40:00,12:40,4549
2021-04-05 12:50:00,12:50,14172
2021-04-05 13:00:00,13:00,10073
2021-04-05 13:10:00,13:10,2662
2021-04-05 13:20:00,13:20,9768
2021-04-05 13:30:00,13:30,3631
2021-04-05 13:40:00,13:40,2688
2021-04-05 13:50:00,13:50,2658
2021-04-05 14:00:00,14:00,4588
2021-04-05 14:10:00,14:10,4880
2021-04-05 14:20:00,14:20,7294
2021-04-05 14:30:00,14:30,7622
2021-04-05 14:40:00,14:40,4406
2021-04-05 14:50:00,14:50,8322
2021-04-05 15:00:00,15:00,3127
2021-04-05 15:10:00,15:10,7310
2021-04-05 15:20:00,15:20,4391
2021-04-05 15:30:00,15:30,3216
2021-04-05 15:40:00,15:40,3703
2021-04-05 15:50:00,15:50,5532
2021-04-05 16:00:00,16:00,6696
2021-04-06 09:40:00,09:40,9704
2021-04-06 09:50:00,09:50,9218
2021-04-06 10:00:00,10:00,6801
2021-04-06 10:10:00,10:10,6399
2021-04-06 10:20:00,10:20,6235
